Aquatics Centre	/m/06wg9f	2012 Summer Olympics	Swimming at the 2012 Summer Olympics – Men's 400 metre individual medley,Synchronized swimming at the 2012 Summer Olympics – Women's duet,Swimming at the 2012 Summer Olympics – Men's 4 x 100 metre freestyle relay,Swimming at the 2012 Summer Olympics – Women's 200 metre freestyle,Swimming at the 2012 Summer Olympics – Women's 200 metre individual medley,Modern pentathlon at the 2012 Summer Olympics – Men's,Swimming at the 2012 Summer Olympics – Women's 4 x 200 metre freestyle relay,Swimming at the 2012 Summer Olympics – Men's 200 metre backstroke,Diving at the 2012 Summer Olympics – Women's synchronized 10 metre platform,Swimming at the 2012 Summer Olympics – Women's 400 metre individual medley,Diving at the 2012 Summer Olympics – Men's synchronized 10 metre platform,Swimming at the 2012 Summer Olympics – Men's 100 metre breaststroke,Diving at the 2012 Summer Olympics – Women's 3 metre springboard,Swimming at the 2012 Summer Olympics – Women's 200 metre backstroke,Swimming at the 2012 Summer Olympics – Men's 1500 metre freestyle,Swimming at the 2012 Summer Olympics – Women's 100 metre breaststroke,Swimming at the 2012 Summer Olympics – Women's 50 metre freestyle,Swimming at the 2012 Summer Olympics – Men's 200 metre individual medley,Swimming at the 2012 Summer Olympics – Men's 4 x 200 metre freestyle relay,Diving at the 2012 Summer Olympics – Women's synchronized 3 metre springboard,Diving at the 2012 Summer Olympics – Men's 3 metre springboard,Swimming at the 2012 Summer Olympics – Women's 4 x 100 metre medley relay,Swimming at the 2012 Summer Olympics – Women's 4 x 100 metre freestyle relay,Swimming at the 2012 Summer Olympics – Men's 100 metre butterfly,Swimming at the 2012 Summer Olympics – Men's 200 metre butterfly,Swimming at the 2012 Summer Olympics – Men's 200 metre freestyle,Diving at the 2012 Summer Olympics – Men's 10 metre platform,Swimming at the 2012 Summer Olympics – Men's 100 metre backstroke,Swimming at the 2012 Summer Olympics – Men's 200 metre breaststroke,Diving at the 2012 Summer Olympics – Women's 10 metre platform,Swimming at the 2012 Summer Olympics – Women's 100 metre butterfly,Modern pentathlon at the 2012 Summer Olympics – Women's,Swimming at the 2012 Summer Olympics – Women's 200 metre butterfly,Swimming at the 2012 Summer Olympics – Women's 100 metre freestyle,Diving at the 2012 Summer Olympics – Men's synchronized 3 metre springboard,Swimming at the 2012 Summer Olympics – Women's 200 metre breaststroke,Swimming at the 2012 Summer Olympics – Men's 100 metre freestyle,Swimming at the 2012 Summer Olympics – Women's 100 metre backstroke,Synchronized swimming at the 2012 Summer Olympics – Women's team,Swimming at the 2012 Summer Olympics – Women's 400 metre freestyle,Swimming at the 2012 Summer Olympics – Men's 50 metre freestyle,Swimming at the 2012 Summer Olympics – Men's 400 metre freestyle,Swimming at the 2012 Summer Olympics – Women's 800 metre freestyle,Swimming at the 2012 Summer Olympics – Men's 4 x 100 metre medley relay	
Seoul National University Gymnasium	/m/027f1z2			
Pacific Coliseum	/m/039xn1	2010 Winter Olympics	Short track speed skating at the 2010 Winter Olympics – Women's 3000 metre relay,Figure skating at the 2010 Winter Olympics – Pair skating,Figure skating at the 2010 Winter Olympics – Ladies' singles,Short track speed skating at the 2010 Winter Olympics – Women's 1000 metres,Short track speed skating at the 2010 Winter Olympics – Men's 5000 metre relay,Figure skating at the 2010 Winter Olympics – Ice dancing,Short track speed skating at the 2010 Winter Olympics – Women's 1500 metres,Figure skating at the 2010 Winter Olympics – Men's singles,Short track speed skating at the 2010 Winter Olympics – Men's 500 metres,Short track speed skating at the 2010 Winter Olympics – Women's 500 metres,Short track speed skating at the 2010 Winter Olympics – Men's 1500 metres	
Fengtai Softball Field	/m/0d7xf0		Softball at the 2008 Summer Olympics	
Wembley Stadium	/m/012579	1948 Summer Olympics		
Swimming Pool	/m/02623k4			
Urban Road Cycling Course	/m/04f25ch		Cycling at the 2008 Summer Olympics - Men's Individual Time Trial,Cycling at the 2008 Summer Olympics - Women's road time trial,Cycling at the 2008 Summer Olympics - Women's individual road race,Cycling at the 2008 Summer Olympics - Men's individual road race	
Peaks Ice Arena	/m/085rk1	2002 Winter Olympics		
Ying Tung Natatorium	/m/0fg558			
Beijing Workers' Gymnasium	/m/04dst2q	2008 Summer Olympics		
Aqua Wing Arena	/m/085rp6	1998 Winter Olympics		
Velòdrom d'Horta	/m/0gnskp			
Hyde Park	/m/01d_0p	2012 Summer Olympics	Swimming at the 2012 Summer Olympics – Men's marathon 10 kilometre,Triathlon at the 2012 Summer Olympics - Men's Triathlon,Triathlon at the 2012 Summer Olympics - Women's Triathlon,Swimming at the 2012 Summer Olympics – Women's marathon 10 kilometre	
Hadleigh Farm	/m/0czdvzg	2012 Summer Olympics	Cycling at the 2012 Summer Olympics – Women's cross-country,Cycling at the 2012 Summer Olympics – Men's cross-country	
Peking University Gymnasium	/m/0d93v9	2008 Summer Olympics		
Shenyang Olympic Sports Centre Stadium	/m/02qrhx8			
Hampden Park	/m/02nkkd	2012 Summer Olympics	Football at the 2012 Summer Olympics – Men's tournament,Football at the 2012 Summer Olympics – Women's tournament	
Olympic Sports Centre	/m/09vq10			
Estadi Olímpic Lluís Companys	/m/0653_r			
Grand Olympic Auditorium	/m/056fdk	1932 Summer Olympics		
Sochi Olympic Oval	/m/02vq0_8		Speed skating at the 2014 Winter Olympics – Men's 10000 metres	
Estadio Cuauhtémoc	/m/06fkwv			
Snowbasin	/m/06zj04	2002 Winter Olympics		
Torino Palasport Olimpico	/m/07gtmv		Ice hockey at the 2006 Winter Olympics – Women’s Team,Ice hockey at the 2006 Winter Olympics – Men’s Team	
Deer Valley	/m/0380lh	2002 Winter Olympics		
Sydney Showground	/m/02pj39b			
Mountain Bike Course, Fairfield City Farm	/m/04f990w	2000 Summer Olympics		
Brisbane Cricket Ground	/m/04t1nm	2000 Summer Olympics		
Shanghai Stadium	/m/0c7flq			
EnergySolutions Arena	/m/038gjq	2002 Winter Olympics		
Gimnasio Olímpico Juan de la Barrera	/m/06fnl0			
Alberca Olímpica Francisco Márquez	/m/06fnjn			
Pavelló Olímpic de Badalona	/m/09sccs		Basketball at the 1992 Summer Olympics - Women's	
Beijing Wukesong Sports Center Baseball Field	/m/04dst3g	2008 Summer Olympics		
Yingdong Natatorium of National Olympic Sports Center	/m/04dst2x	2008 Summer Olympics		
Beijing University of Technology Gymnasium	/m/0dbxyn	2008 Summer Olympics	Badminton at the 2008 Summer Olympics - Mixed doubles,Badminton at the 2008 Summer Olympics - Men's doubles,Badminton at the 2008 Summer Olympics - Men's singles,Badminton at the 2008 Summer Olympics - Women's singles,Badminton at the 2008 Summer Olympics - Women's doubles	
Sokolniki Arena	/m/0cmcnm			
Palau Sant Jordi	/m/0br7dp	1992 Summer Olympics	Volleyball at the 1992 Summer Olympics - Men's volleyball,Volleyball at the 1992 Summer Olympics - Women's volleyball	
Soldier Hollow	/m/05mdyv	2002 Winter Olympics		
Navy-Marine Corps Memorial Stadium	/m/06365y			
