	/m/0b65t1z	Timo Antila	Finland	2010 Winter Olympics	Biathlon
	/m/0b68_kp	Chloe  Georges	France	2010 Winter Olympics	Freestyle skiing
	/m/0b667y9	Liang Wenhao	China	2010 Winter Olympics	Short track speed skating
	/m/0b666sp	Brett Camerota	United States of America	2010 Winter Olympics	Nordic combined
	/m/0b6pjqd	Anna Bogaliy-Titovets	Russia	2010 Winter Olympics	Biathlon
	/m/0b3wl3p	Evgeny Abramenko	Belarus	2010 Winter Olympics	Biathlon
	/m/0b3rqg5	Marie Dorin	France	2010 Winter Olympics	Biathlon
	/m/0b65tn3	Linda Välimäki	Finland	2010 Winter Olympics	Ice Hockey
	/m/0b43233	Regina Mader	Austria	2010 Winter Olympics	Alpine skiing
	/m/0bb9css	Horace Johnson	England	1920 Summer Olympics	Cycling
	/m/0b6pj_p	Ludmila Privivkova	Russia	2010 Winter Olympics	Curling
	/m/0b68y2b	Milos Savic	Serbia	2010 Winter Olympics	Bobsleigh
	/m/096kgjy	Marcelo Arriagada	Chile	2004 Summer Olympics	Road cycling
	/m/09tmxfw	Steve Redgrave	United Kingdom	1984 Summer Olympics	Rowing
	/m/0b68y_1	Dijana Ravnikar	Slovenia	2010 Winter Olympics	Biathlon
	/m/0b65sl6	Maelle Ricker	Canada	2010 Winter Olympics	Snowboarding
	/m/0b3tpgl	Steven Nyman	United States of America	2010 Winter Olympics	Alpine skiing
	/m/0b51h0t	Ben Griffin	New Zealand	2010 Winter Olympics	Alpine skiing
	/m/0b3whd4	Maria Belen Simari Birkner	Argentina	2010 Winter Olympics	Alpine skiing
	/m/0b68yck	Michaela Matejova	Slovakia	2010 Winter Olympics	Ice Hockey
	/m/0b51fs4	Khash-Erdene Khurelbataar	Mongolia	2010 Winter Olympics	Cross-country skiing
	/m/0b51j3g	Mihaela Chiras	Romania	2010 Winter Olympics	Luge
	/m/0b665kw	Erik Johnson	United States of America	2010 Winter Olympics	Ice Hockey
	/m/0b6pjl6	Sergei Maitakov	Russia	2010 Winter Olympics	Alpine skiing
	/m/0b665y1	Bengt Walden	United States of America	2010 Winter Olympics	Luge
	/m/0b690ss	Svetlana Terenteva	Russia	2010 Winter Olympics	Ice Hockey
	/m/0b3tm07	Simon Cho	United States of America	2010 Winter Olympics	Short track speed skating
	/m/0b65tfb	Ville Peltonen	Finland	2010 Winter Olympics	Ice Hockey
	/m/0b665hy	Heather McPhie	United States of America	2010 Winter Olympics	Freestyle skiing
	/m/0b6pjpp	Svetlana Sleptsova	Russia	2010 Winter Olympics	Biathlon
	/m/0gbv8gd	Jeong Gyeongmi	South Korea	2008 Summer Olympics	Judo
	/m/0gl6lz4	Dmitriy Karpov	Kazakhstan	2004 Summer Olympics	Track and field athletics
	/m/0gx9644	Lucious Jackson	United States of America	1964 Summer Olympics	Basketball
	/m/0g91jv9	Nikita Lobintsev	Russia	2008 Summer Olympics	Swimming
	/m/0g91jy7	Alexander Grimm	Germany	2008 Summer Olympics	Canoe Slalom
	/m/0gl6l2d	Julien Pillet	France	2008 Summer Olympics	Fencing
	/m/0gl6kkq	Svetlana Feofanova	Russia	2008 Summer Olympics	Track and field athletics
	/m/0gl6k9t	Hrysopiyí Devetzí	Greece	2008 Summer Olympics	Track and field athletics
	/m/0gbv8z9	Giovanni Pellielo	Italy	2004 Summer Olympics	Shooting sports
	/m/0gx965p	Scott Fortune	United States of America	1992 Summer Olympics	Volleyball
	/m/06v1ykx	Anders Johnson	United States of America	2006 Winter Olympics	Ski jumping
	/m/06vt3h1	Christine Boudrias	Canada	1994 Winter Olympics	Short track speed skating
	/m/06zd95m	Nicola Rodigari	Italy	2006 Winter Olympics	Short track speed skating
	/m/06n4rjf	Casey  Puckett	United States of America	1994 Winter Olympics	Alpine skiing
	/m/06d769h	Shiho Nakashima	Japan	2006 Winter Olympics	Snowboarding
	/m/06zdl_w	Angela Ruggiero	United States of America	2006 Winter Olympics	Ice Hockey
	/m/06ym5wk	Scott Gomez	United States of America	2006 Winter Olympics	Ice Hockey
	/m/06kn87b	Christoph Schubert	Germany	2006 Winter Olympics	Ice Hockey
	/m/06vxstc	Kim Hyun-Ki	South Korea	1998 Winter Olympics	Ski jumping
	/m/06341sh	George O'Day	United States of America	1960 Summer Olympics	Sailing
	/m/065x634	Patrick Jonker		1992 Summer Olympics	Cycling
	/m/065t77h	Igor González de Galdeano	Spain	2004 Summer Olympics	Cycling
	/m/065x5bf	Harry Lodge		1988 Summer Olympics	Cycling
