Cardiff	/m/01s3v	/m/0jvxhyf
Waltham Abbey	/m/04zx03	/m/0jzzn4h
Stoke-on-Trent	/m/017cjb	/m/0jzz3vr
Bletchingley	/m/07nhfr	/m/0jzz6n6
Brighouse	/m/0138gx	/m/0jzz58g
Taunton	/m/01jxlz	/m/0jzz9gf,/m/0jvtxwy
Duddingston	/m/074st6	/m/0jzzkp5
Blackpool	/m/01hvzr	/m/0jzz4nf
Larne	/m/026_9_	/m/0jzz4cl
Gravesend	/m/01tf6h	/m/0jzzfqd
Weymouth	/m/01rt22	/m/0jzz65m
Stornoway	/m/02l6bt	/m/0jzzdd6
London Borough of Brent	/m/0ncks	/m/0jzz8ry
Manchester	/m/052bw	/m/0jvjbn1
London Borough of Richmond upon Thames	/m/0nl99	/m/0jzz7g6
London Borough of Hillingdon	/m/0nlbw	/m/0jzz8jx
London Borough of Haringey	/m/0nc96	/m/0jzzp5v
London Borough of Hackney	/m/0n96z	/m/0jvv35q,/m/0jvjbk6
Royal Borough of Kingston upon Thames	/m/0n9ns	/m/0jzz718
