Men's Greco-Roman Featherweight	/m/07nc_rw	Greco-Roman wrestling		1912 Summer Olympics	Wrestling at the 1912 Summer Olympics - Men's Greco-Roman featherweight	
Men's 1 Mile Freestyle	/m/07nvddk	Swimming		1904 Summer Olympics	Swimming at the 1904 Summer Olympics - Men's 1 mile freestyle	
Standing High Jump	/m/07n9zwb	Track and field athletics		1900 Summer Olympics,1912 Summer Olympics,1904 Summer Olympics,1908 Summer Olympics	Athletics at the 1912 Summer Olympics - Men's standing high jump,Athletics at the 1908 Summer Olympics - Men's standing high jump,Athletics at the 1900 Summer Olympics - Men's standing high jump,Athletics at the 1904 Summer Olympics - Men's standing high jump	
Men's boxing welterweight 62-67kg	/m/07mvkqx	Boxing		1948 Summer Olympics	Boxing at the 1948 Summer Olympics - Welterweight	
Men's Foil Team	/m/0k168rc	Fencing		2012 Summer Olympics	Fencing at the 2012 Summer Olympics - Men's team foil	
Women's Track Cycling, Team Sprint	/m/0k1c1cy	Track cycling		2012 Summer Olympics	Cycling at the 2012 Summer Olympics – Women's team sprint	
Men's Track Cycling, 10 km	/m/07w13gb	Track cycling		1896 Summer Olympics	Cycling at the 1896 Summer Olympics - Men's 10 kilometres	
Men's 25m small bore rifle	/m/07n9zhm	Shooting sports		1912 Summer Olympics	Shooting at the 1912 Summer Olympics - Men's 25 metre small-bore rifle	
Men's Boxing, Lightweight 58-62kg	/m/07nnsm8	Boxing		1948 Summer Olympics	Boxing at the 1948 Summer Olympics - Lightweight	
Men's Athletics, Cross-Country	/m/07n9zbq	Track and field athletics		1920 Summer Olympics,1924 Summer Olympics,1912 Summer Olympics	Athletics at the 1924 Summer Olympics – Men's Individual Cross Country,Athletics at the 1912 Summer Olympics - Men's Individual Cross Country,Athletics at the 1920 Summer Olympics - Men's Individual Cross Country	
Olympic trap	/m/0b6t4m	Shooting sports		1992 Summer Olympics,1988 Summer Olympics,1980 Summer Olympics,1968 Summer Olympics,1960 Summer Olympics,1920 Summer Olympics,1972 Summer Olympics,1976 Summer Olympics,1924 Summer Olympics,1912 Summer Olympics,1984 Summer Olympics,1964 Summer Olympics,1908 Summer Olympics,1952 Summer Olympics,1956 Summer Olympics	Shooting at the 1952 Summer Olympics - Trap,Shooting at the 1964 summer Olympics - Trap,Shooting at the 1960 Summer Olympics - Trap,Shooting at the 1920 Summer Olympics - Trap,Shooting at the 1984 Summer Olympics - Trap,Shooting at the 1956 Summer Olympics - Trap,Shooting at the 1900 Summer Olympics - Trap,Shooting at the 1924 Summer Olympics - Trap,Shooting at the 1992 Summer Olympics - Trap,Shooting at the 1908 Summer Olympics - Trap,Shooting at the 1912 Summer Olympics - Trap,Shooting at the 1976 Summer Olympics – Trap,Shooting at the 1972 Summer Olympics - Trap,Shooting at the 1968 Summer Olympics - Trap,Shooting at the 1988 Summer Olympics - Trap	
Men's Team Relay	/m/063wqcy	Nordic combined		2010 Winter Olympics	Nordic combined at the 2010 Winter Olympics – Team large hill/4 x 5 km	
Men's Freestyle Wrestling, Heavyweight 84-96kg	/m/04fk3hb	Freestyle wrestling		2012 Summer Olympics,2008 Summer Olympics	Wrestling at the 2012 Summer Olympics – Men's freestyle 96 kg,Wrestling at the 2008 Summer Olympics - Men's Freestyle Heavyweight,Wrestling at the 2004 Summer Olympics - Men's Freestyle Heavyweight	
Men's Road Cycling, Individual Time Trial	/m/04fk2q4	Road cycling		1912 Summer Olympics,2008 Summer Olympics,2000 Summer Olympics,1920 Summer Olympics,2012 Summer Olympics,1996 Summer Olympics,1928 Summer Olympics,1932 Summer Olympics,1924 Summer Olympics,2004 Summer Olympics	Cycling at the 1996 Summer Olympics - Men's Individual Time Trial,Cycling at the 1928 Summer Olympics -  Men's Individual Time Trial,Cycling at the 2004 Summer Olympics - Men's Individual Time Trial,Cycling at the 2000 Summer Olympics - Men's Individual Time Trial,Cycling at the 1924 Summer Olympics – Men's Individual Time Trial,Cycling at the 2008 Summer Olympics - Men's Individual Time Trial,Cycling at the 1932 Summer Olympics - Men's Individual Time Trial,Cycling at the 1920 Summer Olympics - Men's individual time trial,Cycling at the 1912 Summer Olympics - Men's individual time trial,Cycling at the 2012 Summer Olympics – Men's road time trial	
49er - Skiff	/m/04fk33g	Sailing		2012 Summer Olympics,2008 Summer Olympics	Sailing at the 2008 Summer Olympics - 49er class,Sailing at the 2012 Summer Olympics – 49er class	
Men's Judo, 71-78kg (half middleweight)	/m/07wm70q	Judo		1992 Summer Olympics,1984 Summer Olympics,1988 Summer Olympics,1980 Summer Olympics,1996 Summer Olympics	Judo at the 1996 Summer Olympics - Men's Half Middleweight (78kg),Judo at the 1988 Summer Olympics - Men's Half Middleweight (78kg),Judo at the 1992 Summer Olympics - Men's Half Middleweight (78kg)	
Men's 10km Pursuit	/m/07sgjsz	Cross-country skiing		1998 Winter Olympics	Cross Country Skiing at the 1998 Winter Olympics - Men's 10km Pursuit	
Men's Cross Country, 10km	/m/07t63q4	Cross-country skiing		1994 Winter Olympics,1992 Winter Olympics	Cross Country Skiing at the 1992 Winter Olympics - Men's 10km,Cross Country Skiing at the 1994 Winter Olympics -Men's 10km	
Team figure skating	/m/0gj7h3w	Figure skating				
Men's Freestyle Wrestling, Middleweight 73-79 kg	/m/07n7bwl	Freestyle wrestling		1952 Summer Olympics,1956 Summer Olympics,1948 Summer Olympics,1960 Summer Olympics	Wrestling at the 1956 Summer Olympics - Men's Freestyle Middleweight,Wrestling at the 1948 Summer Olympics - Men's Freestyle Middleweight,Wrestling at the 1960 Summer Olympics - Men's Freestyle Middleweight,Wrestling at the 1952 Summer Olympics - Men's Freestyle Middleweight	
Men's Freestyle Wrestling, Light Heavyweight 79-87kg	/m/07mrmq7	Freestyle wrestling		1936 Summer Olympics,1960 Summer Olympics,1932 Summer Olympics,1952 Summer Olympics,1924 Summer Olympics,1956 Summer Olympics,1948 Summer Olympics,1928 Summer Olympics	Wrestling at the 1952 Summer Olympics - Men's Freestyle Light Heavyweight,Wrestling at the 1956 Summer Olympics - Men's Freestyle Light Heavyweight,Wrestling at the 1924 Summer Olympics - Men's Freestyle Light Heavyweight,Wrestling at the 1960 Summer Olympics - Men's Freestyle Light Heavyweight,Wrestling at the 1932 Summer Olympics - Men's Freestyle Light Heavyweight,Wrestling at the 1928 Summer Olympics - Men's Freestyle Light Heavyweight,Wrestling at the 1948 Summer Olympics - Men's Freestyle Light Heavyweight,Wrestling at the 1936 Summer Olympics - Men's Freestyle Light Heavyweight	
Men's Boxing, Bantamweight 47.6-52.2 kg	/m/07npj34	Boxing		1904 Summer Olympics	Boxing at the 1904 Summer Olympics - Bantamweight	
Men's football	/m/04fk2j_	Football	Football at the 1896 Summer Olympics	2012 Summer Olympics,2008 Summer Olympics,2004 Summer Olympics	Football at the 2004 Summer Olympics - Men's tournament,Football at the 1912 Summer Olympics,Football at the 1980 Summer Olympics,Football at the 1984 Summer Olympics,Football at the 2012 Summer Olympics – Men's tournament,Football at the 1992 Summer Olympics,Football at the 2008 Summer Olympics - Men's tournament,Football at the 1996 Summer Olympics - Men's tournament	1896 Summer Olympics
Men's Double sculls	/m/04fk39k	Rowing		2012 Summer Olympics,2008 Summer Olympics	Rowing at the 2008 Summer Olympics - Men's double sculls,Rowing at the 2012 Summer Olympics – Men's double sculls	
Men's Freestyle Wrestling, Featherweight 55 - 60 kg	/m/04fk3bn	Freestyle wrestling		2008 Summer Olympics,2012 Summer Olympics	Wrestling at the 2004 Summer Olympics - Men's Freestyle Featherweight,Wrestling at the 2012 Summer Olympics – Men's freestyle 60 kg,Wrestling at the 2008 Summer Olympics - Men's Freestyle Featherweight	
Men's Freestyle Wrestling, Lightweight 63-70kg	/m/07hxj6f	Freestyle wrestling		1964 Summer Olympics,1968 Summer Olympics	Wrestling at the 1968 Summer Olympics - Men's Freestyle Lightweight,Wrestling at the 1964 summer Olympics - Men's Freestyle Lightweight	
Men's Athletics, 110m hurdles	/m/04fk30h	Track and field athletics		1896 Summer Olympics,1912 Summer Olympics,1908 Summer Olympics,1936 Summer Olympics,1928 Summer Olympics,1980 Summer Olympics,1992 Summer Olympics,1976 Summer Olympics,2012 Summer Olympics,1988 Summer Olympics,1996 Summer Olympics,1984 Summer Olympics,1956 Summer Olympics,1948 Summer Olympics,1952 Summer Olympics,1932 Summer Olympics,1972 Summer Olympics,1924 Summer Olympics,1904 Summer Olympics,1960 Summer Olympics,2008 Summer Olympics,1968 Summer Olympics,1900 Summer Olympics,1964 Summer Olympics,2000 Summer Olympics,1920 Summer Olympics,2004 Summer Olympics	Athletics at the 1900 Summer Olympics - Men's 110 metre hurdles,Athletics at the 1928 Summer Olympics – Men's 110 metre hurdles,Athletics at the 1920 Summer Olympics - Men's 110 metre hurdles,Athletics at the 1924 Summer Olympics – Men's 110 metre hurdles,Athletics at the 1992 Summer Olympics - Men's 110 metre hurdles,Athletics at the 1988 Summer Olympics - Men's 110 metres hurdles,Athletics at the 1896 Summer Olympics - Men's 110 metre hurdles,Athletics at the 2004 Summer Olympics - Men's 110 metre hurdles,Athletics at the 1932 Summer Olympics - Men's 110 metre hurdles,Athletics at the 1972 Summer Olympics - Men's 110 metre hurdles,Athletics at the 1984 Summer Olympics - Men's 110 metres hurdles,Athletics at the 1912 Summer Olympics - Men's 110 metre hurdles,Athletics at the 1968 Summer Olympics - Men's 110 metre hurdles,Athletics at the 1964 Summer Olympics - Men's 110 metre hurdles,Athletics at the 1904 Summer Olympics - Men's 110 metre hurdles,Athletics at the 2000 Summer Olympics - Men's 110 metre hurdles,Athletics at the 1976 Summer Olympics - Men's 110 metre hurdles,Athletics at the 1980 Summer Olympics - Men's 110 metre hurdles,Athletics at the 1956 Summer Olympics - Men's 110 metre hurdles,Athletics at the 1936 Summer Olympics – Men's 110 metre hurdles,Athletics at the 1948 Summer Olympics – Men's 110 metre hurdles,Athletics at the 2008 Summer Olympics - Men's 110 metre hurdles,Athletics at the 1952 Summer Olympics – Men's 110 metres hurdles,Athletics at the 2012 Summer Olympics – Men's 110 metres hurdles,Athletics at the 1960 Summer Olympics - Men's 110 metre hurdles,Athletics at the 1996 Summer Olympics - Men's 110 metre hurdles	
Women's Judo, 70 - 78kg (half-heavyweight)	/m/04fk2fw	Judo		2012 Summer Olympics,2000 Summer Olympics,2008 Summer Olympics,2004 Summer Olympics	Judo at the 2004 Summer Olympics - Women's 78 kg,Judo at the 2000 Summer Olympics - Women's 78 kg,Judo at the 2012 Summer Olympics – Women's 78 kg,Judo at the 2008 Summer Olympics – Women's 78 kg	
Men's Athletics, 4x100m relay	/m/04fk3k_	Track and field athletics		2012 Summer Olympics,2008 Summer Olympics	Athletics at the 2008 Summer Olympics - Men's 4x100 metre relay,Athletics at the 2012 Summer Olympics – Men's 4 x 100 metres relay,Athletics at the 1936 Summer Olympics – Men's 4x100 metre relay,Athletics at the 2004 Summer Olympics - Men's 4 x 100 metres relay	
Women's Track cycling, points race	/m/04fk2xk	Track cycling		1996 Summer Olympics,2004 Summer Olympics,2008 Summer Olympics,2000 Summer Olympics	Cycling at the 2008 Summer Olympics - Women's Points Race,Cycling at the 1996 Summer Olympics - Women's Points Race,Cycling at the 2004 Summer Olympics - Women's Points Race,Cycling at the 2000 Summer Olympics - Women's Points Race	
Men's Individual Sprint	/m/063wqb4	Cross-country skiing		2010 Winter Olympics,2002 Winter Olympics,2006 Winter Olympics	Cross-Country Skiing at the 2002 Winter Olympics - Men's Sprint, Individual,Cross-Country Skiing at the 2006 Winter Olympics - Men's Sprint, Individual,Cross-country skiing at the 2010 Winter Olympics – Men's sprint	
Women's Snowboard Cross	/m/063wqff	Snowboarding		2010 Winter Olympics,2006 Winter Olympics	Snowboarding at the 2010 Winter Olympics – Women's snowboard cross,Snowboarding at the 2006 Winter Olympics – Women's snowboard cross	
Men's Freestyle Wrestling, Bantamweight -56kg	/m/07mxbgg	Freestyle wrestling		1932 Summer Olympics,1936 Summer Olympics	Wrestling  at the 1936 Summer Olympics - Men's Freestyle Bantamweight,Wrestling at the 1932 Summer Olympics - Men's Freestyle Bantamweight	
Women's Floor exercises	/m/04fk2h8	Artistic gymnastics		2004 Summer Olympics,1964 Summer Olympics,1956 Summer Olympics,1988 Summer Olympics,1984 Summer Olympics,1960 Summer Olympics,1972 Summer Olympics,1976 Summer Olympics,1992 Summer Olympics,1952 Summer Olympics,2000 Summer Olympics,1996 Summer Olympics,1968 Summer Olympics,2008 Summer Olympics,2012 Summer Olympics,1980 Summer Olympics	Gymnastics at the 2008 Summer Olympics - Women's Floor,Gymnastics at the 1988 Summer Olympics – Women's Floor,Gymnastics at the 1976 Summer Olympics – Women's Floor,Gymnastics at the 1952 Summer Olympics - Women's Floor,Gymnastics at the 1960 Summer Olympics – Women's floor,Gymnastics at the 1996 Summer Olympics – Women's floor,Gymnastics at the 2012 Summer Olympics – Women's floor,Gymnastics at the 1972 Summer Olympics – Women's floor,Gymnastics at the 2000 Summer Olympics – Women's Floor,Gymnastics at the 1992 Summer Olympics – Women's Floor,Gymnastics at the 1984 Summer Olympics – Women's floor,Gymnastics at the 1956 Summer Olympics – Women's floor,Gymnastics at the 1980 Summer Olympics – Women's Floor,Gymnastics at the 1964 Summer Olympics - Women's Floor,Gymnastics at the 1968 Summer Olympics – Women's floor,Gymnastics at the 2004 Summer Olympics - Women's Floor	
Men's 400m individual medley	/m/04fk2n8	Swimming		1988 Summer Olympics,1984 Summer Olympics,2008 Summer Olympics,1972 Summer Olympics,1976 Summer Olympics,1996 Summer Olympics,2000 Summer Olympics,2004 Summer Olympics,1992 Summer Olympics,1964 Summer Olympics,1968 Summer Olympics,2012 Summer Olympics,1980 Summer Olympics	Swimming at the 1984 Summer Olympics - Men's 400 metre individual medley,Swimming at the 2004 Summer Olympics - Men's 400 metre individual medley,Swimming at the 2008 Summer Olympics - Men's 400 metre individual medley,Swimming at the 1992 Summer Olympics - Men's 400 metre individual medley,Swimming at the 1980 Summer Olympics - Men's 400 metre individual medley,Swimming at the 2012 Summer Olympics – Men's 400 metre individual medley,Swimming at the 1968 Summer Olympics – Men's 400 metre individual medley,Swimming at the 2000 Summer Olympics - Men's 400 metre individual medley,Swimming at the 1964 Summer Olympics – Men's 400 metre individual medley,Swimming at the 1988 Summer Olympics – Men's 400 metre individual medley,Swimming at the 1996 Summer Olympics - Men's 400 metre individual medley,Swimming at the 1972 Summer Olympics - Men's 400 metre individual medley,Swimming at the 1976 Summer Olympics - Men's 400 metre individual medley	
