Fencing at the 2008 Summer Olympics - Men's Foil, Individual	/m/04g7g9m	Men's Foil individual	Fencing Hall of National Convention Center	/m/07w49y_,/m/04gc14f,/m/04gc14q	2008 Summer Olympics
Speed Skating at the 1928 Winter Olympics - Men's 5000m	/m/04g2d8c	Speed skating - Men's 5000m		/m/07pn3y1,/m/07pn5jl,/m/07pn3yb	1928 Winter Olympics
Swimming at the 1924 Summer Olympics - Women's 4 x 100 metre freestyle relay	/m/04n4z68				
Rowing at the 2004 Summer Olympics - Women's Eight	/m/03wyt_			/m/04gcscr,/m/04gcs5x	2004 Summer Olympics
Swimming at the 1980 Summer Olympics - Women's 200 metre freestyle	/m/03wgzhz	Women's 200m freestyle		/m/07npkql,/m/07npkqv,/m/07npkqb	1980 Summer Olympics
Wrestling at the 1996 Summer Olympics - Men's freestyle Light Flyweight	/m/0412gb2	Men's Freestyle Wrestling, 48kg		/m/07zvckc,/m/07_44m_,/m/09j4lh0	1996 Summer Olympics
Archery at the 2000 Summer Olympics - Women's team	/m/03nqz8m				2000 Summer Olympics
Swimming at the 1980 Summer Olympics - Men's 100 metre butterfly	/m/03wgzwp	Men's 100m butterfly		/m/091328r,/m/07nwqfh,/m/07npkp0	1980 Summer Olympics
Athletics at the 1952 Summer Olympics - Men's triple jump	/m/04lhvh3	Men's Triple jump		/m/07ygmfk,/m/07vcwzh,/m/07ygmmt	1952 Summer Olympics
Swimming at the 1932 Summer Olympics - Women's 200 metre breaststroke	/m/04q6lmx	Women's 200m breaststroke		/m/07ygjvt,/m/07ygjw9,/m/07w3ygl	1932 Summer Olympics
Speed Skating at the 1936 Winter Olympics - Men's 500m	/m/04g2qlk	Men's 500m		/m/07v6_rr,/m/07v6_r_,/m/07v6_s7	1936 Winter Olympics
Shooting at the 1920 Summer Olympics - Men's 50 metre small-bore rifle	/m/03h08xr	50m small bore rifle		/m/07nb5jw,/m/09k3th6,/m/07nb5vk	1920 Summer Olympics
Fencing at the 2008 Summer Olympics - Women's team sabre	/m/04g7g6w	Women's Sabre team	Fencing Hall of National Convention Center	/m/04gc1c2,/m/04gc1ch,/m/04gc19w	2008 Summer Olympics
Rowing at the 2004 Summer Olympics - Men's Single Sculls	/m/03wv5t	Men's Single sculls		/m/078nkxz,/m/07963yr,/m/078y2r3	2004 Summer Olympics
Wrestling at the 1984 Summer Olympics - Men's freestyle Flyweight	/m/04f_mk0	Men's Freestyle Wrestling, flyweight 48-52 kg		/m/07j4s_0,/m/07txh55,/m/07txh4y	1984 Summer Olympics
Cycling at the 2008 Summer Olympics - Men's Individual Time Trial	/m/04g7ght	Men's Road Cycling, Individual Time Trial	Urban Road Cycling Course	/m/04g96_n,/m/04g96_z,/m/04g9708	2008 Summer Olympics
Athletics at the 1988 Summer Olympics - Women's heptathlon	/m/03h2t9z	Women's Heptathlon		/m/07k0mfq,/m/07k0mfb,/m/05srzmy	1988 Summer Olympics
